page_id,dataset,source_path,error_type,message
coru_page_00ec7e86b34836,coru,data/raw/public/coru/Receipt Question Answering/test/c83bb5f9-f0b5-4c61-9a28-9872c1909140.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\c83bb5f9-f0b5-4c61-9a28-9872c1909140.json
coru_page_01e8e0cf4abeab,coru,data/raw/public/coru/Receipt Question Answering/test/20ecef40-88ac-4291-8d1d-0a8c9fb2af86.jpg,JSONDecodeError,"Expecting ',' delimiter: line 42 column 1 (char 3137)"
coru_page_02896d7e78927f,coru,data/raw/public/coru/Receipt Question Answering/test/17b8d454-b220-4120-b2af-a4454376a482.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\17b8d454-b220-4120-b2af-a4454376a482.json
coru_page_068111f8d92ef9,coru,data/raw/public/coru/Receipt Question Answering/test/56aa60ce-5498-4fd4-8ec4-291f40f8df03.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\56aa60ce-5498-4fd4-8ec4-291f40f8df03.json
coru_page_09dbde3361c801,coru,data/raw/public/coru/Receipt Question Answering/test/377832a3-c9b9-4f04-b16f-1b0ee842a988.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\377832a3-c9b9-4f04-b16f-1b0ee842a988.json
coru_page_0b067da657a6f2,coru,data/raw/public/coru/Receipt Question Answering/test/98f2034a-8323-428d-a079-fc1f20664261.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\98f2034a-8323-428d-a079-fc1f20664261.json
coru_page_0bff6a48c2e59f,coru,data/raw/public/coru/Receipt Question Answering/test/61ed9065-7940-46f0-a35f-44d3a15c00fa.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\61ed9065-7940-46f0-a35f-44d3a15c00fa.json
coru_page_0ce7aea674b6a2,coru,data/raw/public/coru/Receipt Question Answering/test/a01fa491-38b6-440d-929f-7fb953f682d2.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\a01fa491-38b6-440d-929f-7fb953f682d2.json
coru_page_0cff5743c4a6f2,coru,data/raw/public/coru/Receipt Question Answering/test/a2d71149-52f5-4570-a0d9-b3c83952baeb.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\a2d71149-52f5-4570-a0d9-b3c83952baeb.json
coru_page_0d26aaea8a260e,coru,data/raw/public/coru/Receipt Question Answering/test/c8d3dedf-9299-4ed5-96f9-0743c956f9b0.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\c8d3dedf-9299-4ed5-96f9-0743c956f9b0.json
coru_page_1350c318a849c4,coru,data/raw/public/coru/Receipt Question Answering/test/38a3d9b6-0210-4816-9403-4dd37c575431.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\38a3d9b6-0210-4816-9403-4dd37c575431.json
coru_page_14a595eab169c7,coru,data/raw/public/coru/Receipt Question Answering/test/60e84269-d517-431f-884b-0a544ef0b5d2.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\60e84269-d517-431f-884b-0a544ef0b5d2.json
coru_page_1917a22fa07986,coru,data/raw/public/coru/Receipt Question Answering/test/37efce38-450f-4dfe-9b4e-5fc41cc9b7d6.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\37efce38-450f-4dfe-9b4e-5fc41cc9b7d6.json
coru_page_196e2fe6007825,coru,data/raw/public/coru/Receipt Question Answering/test/44fc5227-7608-48f0-815e-b51a477570f7.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\44fc5227-7608-48f0-815e-b51a477570f7.json
coru_page_1bb1f5ffeca4ca,coru,data/raw/public/coru/Receipt Question Answering/test/25f651b2-1c87-44f0-bd5e-a48694942c75.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\25f651b2-1c87-44f0-bd5e-a48694942c75.json
coru_page_1c20b552209240,coru,data/raw/public/coru/Receipt Question Answering/test/042c3705-0876-4e6b-b7ba-d8d1e5cc602f.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\042c3705-0876-4e6b-b7ba-d8d1e5cc602f.json
coru_page_1cfe18f99e6d71,coru,data/raw/public/coru/Receipt Question Answering/test/56aed8cd-8d14-44ef-90b0-7c153ec8b962.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\56aed8cd-8d14-44ef-90b0-7c153ec8b962.json
